Name , Birth Month , Birth Day , Birth Year , Birth City , Birth State , Dead , Death Date , Age
Chandrasekhar Gadkari , February , 3 , 1928 , Poona (now Pune) , Maharashtra , 1 , January 11 1998 , 70  years 0 days
Jayasinghrao Ghorpade , October , 2 , 1930 , Panchgani , Maharashtra , 1 , March 29 1978 , 48  years 0 days
Pananmal Punjabi , September , 20 , 1921 , Karachi , Sind , 1 , October 4 2011 , 90  years 0 days
Naren Tamhane , August , 4 , 1931 , Bombay (now Mumbai) , Maharashtra , 1 , March 19 2002 , 71  years 0 days
Prakash Bhandari , November , 27 , 1935 , Delhi , Delhi , 0 , NA , 81 years 144 days
Jasubhai Patel , November , 26 , 1924 , Ahmedabad , Gujarat , 1 , December 12 1992 , 68  years 0 days
AG Kripal Singh , August , 6 , 1933 , Madras (now Chennai) , Madras (now Chennai) , 1 , July 22 1987 , 54  years 0 days
Narain Swamy , May , 23 , 1924 , Calicut (now Kozhikhode) , Kerala , 1 , May 1 1983 , 59  years 0 days
Nari Contractor , March , 7 , 1934 , Godhra , Gujarat , 0 , NA , 83 years 44 days
Vijay Mehra , March , 12 , 1938 , Amritsar , Punjab , 1 , August 25 2006 , 68  years 0 days
Sadashiv Patil , October , 10 , 1933 , Kolhapur , Maharashtra , 0 , NA , 83 years 192 days
Bapu Nadkarni , April , 4 , 1933 , Nasik , Maharashtra , 0 , NA , 84 years 16 days
Gundibail Sunderam , March , 29 , 1930 , Udupi , Karnataka , 1 , June 20 2010 , 80  years 0 days
Chandrakant Patankar , November , 24 , 1930 , Pen , Maharashtra , 0 , NA , 86 years 147 days
Chandu Borde , July , 21 , 1934 , Poona (now Pune) , Maharashtra , 0 , NA , 82 years 273 days
Ghulam Guard , December , 12 , 1925 , Surat , Gujarat , 1 , March 13 1978 , 53  years 0 days
Manohar Hardikar , February , 8 , 1936 , Baroda , Gujarat , 1 , February 4 1995 , 59  years 0 days
Vasant Ranjane , July , 22 , 1937 , Poona (now Pune) , Maharashtra , 1 , December 22 2011 , 74  years 0 days
Ramnath Kenny , September , 29 , 1930 , Bombay (now Mumbai) , Maharashtra , 1 , November 21 1985 , 55  years 0 days
Surendranath , January , 4 , 1937 , Meerut , Uttar Pradesh , 1 , May 5 2012 , 75  years 0 days
AK Sengupta , August , 3 , 1939 , Lucknow , Uttar Pradesh , 1 , September 14 2013 , 74  years 0 days
Ramakant Desai , June , 20 , 1939 , Bombay (now Mumbai) , Maharashtra , 1 , April 27 1998 , 59  years 0 days
Motganhalli Jaisimha , March , 3 , 1939 , Secunderabad , Andhra Pradesh , 1 , July 6 1999 , 60  years 0 days
Arvind Apte , October , 24 , 1934 , Bombay (now Mumbai) , Maharashtra , 1 , August 5 2014 , 80  years 0 days
Abbas Ali Baig , March , 19 , 1939 , Hyderabad , Andhra Pradesh , 0 , NA , 78 years 32 days
Venatappa Muddiah , June , 8 , 1929 , Bangalore , Karnataka , 1 , October 1 2009 , 80  years 0 days
Salim Durani , December , 11 , 1934 , Kabul , Afghanistan , 0 , NA , 82 years 130 days
Budhi Kunderan , October , 2 , 1939 , Mulki , Karnataka , 1 , June 23 2006 , 67  years 0 days
AG Milkha Singh , December , 31 , 1941 , Madras (now Chennai) , Madras (now Chennai) , 0 , NA , 75 years 110 days
Man Sood , July , 6 , 1939 , Lahore , Punjab , 0 , NA , 77 years 288 days
Rusi Surti , May , 25 , 1936 , Surat , Gujarat , 1 , January 12 2013 , 77  years 0 days
Baloo Gupte , August , 30 , 1934 , Bombay (now Mumbai) , Maharashtra , 1 , July 5 2005 , 71  years 0 days
Vaman Kumar , June , 22 , 1935 , Madras (now Chennai) , Madras (now Chennai) , 0 , NA , 81 years 302 days
Farokh Engineer , February , 25 , 1938 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 79 years 54 days
Dilip Sardesai , August , 8 , 1940 , Margao , Goa , 1 , July 2 2007 , 67  years 0 days
Nawab of Pataudi , January , 5 , 1941 , Bhopal , Madhya Pradesh , 1 , September 22 2011 , 70  years 0 days
Erapalli Prasanna , May , 22 , 1940 , Bangalore , Karnataka , 0 , NA , 76 years 333 days
Bhagwath Chandrasekhar , May , 17 , 1945 , Mysore , Karnataka , 0 , NA , 71 years 338 days
Rajinder Pal , November , 18 , 1937 , Delhi , Delhi , 0 , NA , 79 years 153 days
Hanumant Singh , March , 29 , 1939 , Banswara , Rajasthan , 1 , November 29 2006 , 67  years 0 days
Prince Indrajitsinhji , June , 15 , 1937 , Jamnagar , Gujarat , 1 , March 12 2011 , 74  years 0 days
Srinivas Venkataraghavan , April , 21 , 1945 , Madras (now Chennai) , Madras (now Chennai) , 0 , NA , 71 years 364 days
Venkataraman Subramanya , July , 16 , 1936 , Bangalore , Karnataka , 0 , NA , 80 years 278 days
Ajit Wadekar , April , 1 , 1941 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 76 years 19 days
Bishan Bedi , September , 25 , 1946 , Amritsar , Punjab , 0 , NA , 70 years 207 days
